unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800ADE48,src/melee/ft/chara/ftCommon/ftCo_0A01.c,2404,77.23794,22.76206,37.5712,queued:1,1,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A6D2C,src/melee/ft/chara/ftCommon/ftCo_0A01.c,664,88.93976,11.06024,37.5314,queued:1,1,0,0,False
main/melee/mn/mndiagram3,mnDiagram3_8024714C,src/melee/mn/mndiagram3.c,888,86.64414,13.35586,37.4432,no_db_target,0,0,0,False
main/melee/ty/tyfigupon,fn_803168DC,src/melee/ty/tyfigupon.c,796,87.47739,12.52261,37.1925,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_8019AF50,src/melee/gm/gm_18A5.c,908,86.36564,13.63436,37.0251,queued:1,1,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialn,ftKb_SpecialAirNCaptureWait_IASA,src/melee/ft/chara/ftKirby/ftkirbyspecialn.c,804,87.25871,12.74129,36.5542,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_8039F05C,src/sysdolphin/baselib/particle.c,1648,80.78883,19.21117,36.5244,no_db_target,0,0,0,False
main/melee/gr/grrcruise,grRCruise_8020071C,src/melee/gr/grrcruise.c,1068,84.75655,15.24345,36.1324,queued:1,1,0,0,False
main/melee/if/if_2F72,fn_802F7994,src/melee/if/if_2F72.c,356,92.59551,7.40449,35.2962,no_db_target,0,0,0,False
main/melee/mn/mnname,mnName_8023AC40,src/melee/mn/mnname.c,1092,84.24542,15.75458,34.8920,queued:1,1,0,0,False
main/melee/mp/mplib,mpLib_800536CC_Floor,src/melee/mp/mplib.c,464,90.90517,9.09483,34.8017,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_8019A158,src/melee/gm/gm_18A5.c,1476,81.32791,18.67209,34.5636,queued:1,1,0,0,False
main/melee/mn/mnruleplus,mn_80233218,src/melee/mn/mnruleplus.c,2020,78.08118,21.91882,34.2391,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_80193B58,src/melee/gm/gm_18A5.c,1140,83.60351,16.39649,33.9459,queued:1,1,0,0,False
main/melee/gr/grpushon,grPushOn_802190D0,src/melee/gr/grpushon.c,308,93.15585,6.84415,33.8405,no_db_target,0,0,0,False
main/melee/gm/gmmain_lib,gmMainLib_8015EA80,src/melee/gm/gmmain_lib.c,560,89.37857,10.62143,33.6148,queued:1,1,0,0,False
main/melee/mn/mninfo,mnInfo_80251AFC,src/melee/mn/mninfo.c,604,88.81457,11.18543,33.5686,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B2E,fn_803B2E04,src/sysdolphin/baselib/hsd_3B2E.c,412,91.41747,8.58253,33.4883,no_db_target,0,0,0,False
main/melee/mn/mnvibration,fn_802487A8,src/melee/mn/mnvibration.c,720,87.41666,12.58334,33.3863,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_80194658,src/melee/gm/gm_18A5.c,860,85.73489,14.26511,32.5499,queued:1,1,0,0,False
main/melee/if/ifcoget,fn_802FF218,src/melee/if/ifcoget.c,328,92.53658,7.46342,32.1816,queued:1,1,0,0,False
main/melee/lb/lbaudio_ax,lbAudioAx_800233EC,src/melee/lb/lbaudio_ax.c,680,87.55294,12.44706,32.0757,no_db_target,0,0,0,False
main/melee/gr/grgreens,grGreens_80215ED8,src/melee/gr/grgreens.c,2028,77.26035,22.73965,31.7629,no_db_target,0,0,0,False
main/sysdolphin/baselib/texpdag,SimplifyByMerge,src/sysdolphin/baselib/texpdag.c,2616,74.47859,25.52141,31.5274,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80391F28,src/sysdolphin/baselib/particle.c,620,88.12258,11.87742,31.4523,no_db_target,0,0,0,False
main/melee/mn/mnmainrule,mn_80230274,src/melee/mn/mnmainrule.c,1412,80.79037,19.20963,31.2988,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3AA7,fn_803B0120,src/sysdolphin/baselib/hsd_3AA7.c,3452,71.36964,28.63036,31.2713,queued:2,2,0,0,False
main/melee/gm/gmallstar,gm_801B5ACC,src/melee/gm/gmallstar.c,944,84.53390,15.46610,31.1483,no_db_target,0,0,0,False
main/melee/mn/mnstagesw,mnStageSw_802359C8,src/melee/mn/mnstagesw.c,656,87.53658,12.46342,30.8800,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3AA7,fn_803ACFC0,src/sysdolphin/baselib/hsd_3AA7.c,428,90.63551,9.36449,30.8099,queued:2,2,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialmars,ftKb_SpecialNMs_8010B2FC,src/melee/ft/chara/ftKirby/ftkirbyspecialmars.c,420,90.59048,9.40952,30.0297,no_db_target,0,0,0,False
main/melee/lb/lbaudio_ax,fn_800269AC,src/melee/lb/lbaudio_ax.c,600,87.86000,12.14000,29.4266,no_db_target,0,0,0,False
main/melee/gm/gmtou,fn_8019C048,src/melee/gm/gmtou.c,932,84.12017,15.87983,29.3695,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80394128,src/sysdolphin/baselib/particle.c,192,94.70834,5.29166,29.1368,no_db_target,0,0,0,False
main/melee/mn/mncharsel,mnCharSel_8025FB50,src/melee/mn/mncharsel.c,668,86.91018,13.08982,29.0934,no_db_target,0,0,0,False
main/melee/mn/mndatadel,fn_8024F840,src/melee/mn/mndatadel.c,868,84.62673,15.37327,28.9402,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3AA7,fn_803B0E9C,src/sysdolphin/baselib/hsd_3AA7.c,1180,81.57288,18.42712,28.3382,queued:2,2,0,0,False
main/melee/gm/gm_18A5,fn_80195CCC,src/melee/gm/gm_18A5.c,1088,82.32721,17.67279,28.2652,queued:1,1,0,0,False
main/melee/mn/mninfo,mnInfo_80252758,src/melee/mn/mninfo.c,416,90.15385,9.84615,27.8819,no_db_target,0,0,0,False
main/melee/mn/mnsnap,mnSnap_80253184,src/melee/mn/mnsnap.c,280,92.61429,7.38571,27.8542,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3AA7,fn_803B26CC,src/sysdolphin/baselib/hsd_3AA7.c,296,92.25676,7.74324,27.6568,queued:2,2,0,0,False
main/melee/if/ifstock,ifStock_802F7EFC,src/melee/if/ifstock.c,924,83.62337,16.37663,27.5736,no_db_target,0,0,0,False
main/melee/gm/gmcamera,gmCamera_801A31FC,src/melee/gm/gmcamera.c,448,89.52679,10.47321,27.4534,no_db_target,0,0,0,False
main/melee/if/if_2F72,if_802F7AF8,src/melee/if/if_2F72.c,188,94.46809,5.53191,27.0171,no_db_target,0,0,0,False
main/melee/gr/grcorneria,grCorneria_801DCE1C,src/melee/gr/grcorneria.c,1188,80.84849,19.15151,26.4895,no_db_target,0,0,0,False
main/melee/mn/mninfo,fn_80252548,src/melee/mn/mninfo.c,472,88.84746,11.15254,26.3487,no_db_target,0,0,0,False
main/melee/mn/mnsoundtest,fn_8024B2B0,src/melee/mn/mnsoundtest.c,1332,79.57958,20.42042,26.1477,no_db_target,0,0,0,False
main/melee/if/if_2F72,fn_802F770C,src/melee/if/if_2F72.c,236,93.13559,6.86441,25.8309,no_db_target,0,0,0,False
